typology,stat,time,with_trees_avg,without_trees_avg,with_trees_std,without_trees_std
historisch,mean,morning,30.669922,34.012409166666664,0.6833240172576989,1.0210516932483724
historisch,mean,afternoon,45.60150316666667,51.80953266666666,1.4365564171997438,2.0576953627556893
historisch,mean,evening,30.417448000000004,32.35989033333333,1.2111266256837063,1.911668233883345
tuindorp,mean,morning,33.1657565,37.760116333333336,1.7519480363383781,0.2661492858729238
tuindorp,mean,afternoon,50.225013666666676,58.57008716666667,3.168293625666956,0.5497407527503917
tuindorp,mean,evening,33.00906,38.525224,2.2949124435268535,2.8064276164797826
vinex,mean,morning,33.907242333333336,38.31395866666667,0.8950624134661596,0.3752174909044974
vinex,mean,afternoon,51.43276533333333,59.224041666666665,1.4571868826014966,0.4700402619608951
vinex,mean,evening,34.1100745,40.16923916666667,1.8832586624920913,3.097373369688868
volkswijk,mean,morning,32.120698999999995,36.23153683333334,0.8647175161346045,0.7993068089787342
volkswijk,mean,afternoon,48.11056983333334,55.71205866666668,1.5024545942626577,1.3125751514188682
volkswijk,mean,evening,30.391663333333337,33.66860616666666,1.3613720256311508,1.9396066713809188
bloemkool,mean,morning,32.789651166666665,38.60658566666667,0.8928312820452503,0.35660456170591437
bloemkool,mean,afternoon,49.34665616666667,59.69597833333333,1.6069605217260836,0.5693807556968064
bloemkool,mean,evening,33.1920585,40.82718466666667,1.6971199844596432,3.186859958074259
stedelijk,mean,morning,30.07535525,35.42094624999999,0.13059913718799915,0.3086885331671993
stedelijk,mean,afternoon,44.580464,54.31621,0.2721978958221397,1.136699887966916
stedelijk,mean,evening,28.897825249999997,32.174386,0.4366005672979784,1.435539813294636
historisch,median,morning,29.59480583333333,34.99459916666667,1.096429973450638,2.0275242663438995
historisch,median,afternoon,43.93452316666666,52.62101466666667,1.7627692141545268,3.0242685268177265
historisch,median,evening,28.218847,29.04882983333333,1.0192959902662224,1.2658740217458324
tuindorp,median,morning,33.870840333333334,39.589057499999996,3.0049114439569533,0.34809042162044584
tuindorp,median,afternoon,51.31431416666667,62.922716666666666,5.1892550746711,1.8620965322047782
tuindorp,median,evening,30.334529333333336,37.630477666666664,1.4165957966126632,5.441861096753929
vinex,median,morning,35.233778666666666,39.721264999999995,1.4629284029876048,0.372014451230595
vinex,median,afternoon,53.57526083333334,61.885983666666675,2.2001187484041327,1.864133622987867
vinex,median,evening,31.063255,40.993637,1.4036563848901198,5.735772172064612
volkswijk,median,morning,32.286949166666666,38.115604999999995,1.5962918710787706,1.0139446219684791
volkswijk,median,afternoon,48.05250883333334,59.33760833333333,2.3455261309489117,2.9475334449656505
volkswijk,median,evening,28.631827333333334,30.94604083333333,0.988377146936667,3.396375116195408
bloemkool,median,morning,33.40093216666667,39.983036500000004,1.7479393788925774,0.36052874510848565
bloemkool,median,afternoon,50.18263066666666,63.18189933333333,3.2445612024931614,1.3664818037732753
bloemkool,median,evening,30.769371666666668,42.37743766666667,1.4156168781664997,3.824087088421322
stedelijk,median,morning,28.515541499999998,36.998628,0.3052272219669575,0.7154290177457623
