typology,stat,time,with_trees_avg,without_trees_avg,with_trees_std,without_trees_std
historisch,mean,morning,39.032208833333335,41.263573,0.8083103664604121,1.0906311050321276
historisch,mean,afternoon,58.44776283333332,60.768799333333334,1.768919158800584,1.955105983796446
historisch,mean,evening,40.45340083333333,41.799353833333335,0.5309010632825732,0.9485495359396717
tuindorp,mean,morning,42.28045183333332,45.147235333333334,0.9267222424565871,0.2710389902753224
tuindorp,mean,afternoon,64.28483666666666,66.98188333333334,0.6281597262453744,0.4552064611873022
tuindorp,mean,evening,45.949414499999996,48.10995883333334,0.8947948059819628,0.8973398765251468
vinex,mean,morning,42.81390100000001,45.617061666666665,0.7681624854562998,0.3658742464430456
vinex,mean,afternoon,64.83737833333333,67.29254683333333,0.9524389244707833,0.5250330788856695
vinex,mean,evening,47.485216666666666,49.69685533333333,0.9330000579109679,0.9310928393507641
volkswijk,mean,morning,41.002692833333334,43.61993116666667,0.8698884036423108,0.7969125874035169
volkswijk,mean,afternoon,61.92610016666668,64.4742085,1.5018262394914297,1.1906154117654892
volkswijk,mean,evening,42.306591166666664,44.07753916666667,1.601889056633751,1.5658896173662329
bloemkool,mean,morning,41.79642916666666,45.90072116666667,0.905334419419347,0.3458296519186366
bloemkool,mean,afternoon,63.53102416666666,67.72823666666666,1.3994853256623176,0.512707292962238
bloemkool,mean,evening,46.31240366666666,49.98751683333333,1.0273526224679954,1.137568586699268
stedelijk,mean,morning,38.932939749999996,42.770398,0.033341322473022156,0.36337904091091017
stedelijk,mean,afternoon,58.6994215,63.089388250000006,0.3886209675810966,1.0087660271534284
stedelijk,mean,evening,40.57492225,43.221911500000004,0.8496736482479124,1.3353832049848726
historisch,median,morning,39.43202733333333,42.45876666666667,1.1851128027501283,2.0709188282459228
historisch,median,afternoon,59.276767500000005,63.16298700000001,2.7438591625840956,3.3200030977890966
historisch,median,evening,37.12974216666667,38.2297345,0.31105553412882225,0.6090538163636278
tuindorp,median,morning,43.603102166666666,47.035408,1.2107630169750692,0.3202341062366732
tuindorp,median,afternoon,67.46323650000001,70.98380416666667,0.6713081257138919,1.0948188559410972
tuindorp,median,evening,45.469033333333336,47.89999616666666,2.3985973224387336,3.0503227944874567
vinex,median,morning,44.074506500000005,47.11211466666666,0.8248607217230677,0.40257829237934145
vinex,median,afternoon,67.50461166666666,69.86334116666667,1.308996223804739,1.885144215405752
vinex,median,evening,47.728201666666656,49.7103745,1.145098696942875,0.7170776191241074
volkswijk,median,morning,42.252542999999996,45.59809816666667,1.1465117984286073,0.9985719598148992
volkswijk,median,afternoon,64.79123466666667,67.79720916666666,2.5011231941709413,2.2125623424943655
volkswijk,median,evening,39.47518833333333,41.02507583333333,2.873061017386625,3.675941041977601
bloemkool,median,morning,43.18019699999999,47.396916000000004,0.9978277655042478,0.433770692024715
bloemkool,median,afternoon,66.51202433333333,71.46102499999999,1.5579613761504703,0.23779842047499064
bloemkool,median,evening,46.35888716666667,50.167612,1.3506293929839415,0.7512709580477618
stedelijk,median,morning,39.547143000000005,44.517444749999996,0.060613205893326534,0.6206607285344519
stedelijk,median,afternoon,60.006445,65.330424,0.5629121496562918,1.9084469757084337
stedelijk,median,evening,37.438745999999995,38.962634249999994,0.47683786658010496,0.5165855306067436
historisch,min,morning,26.812054333333336,26.9056235,0.045027918262636454,0.03142209143102955
historisch,min,afternoon,35.01646866666666,35.199422999999996,0.13103453062710932,0.10133226018598394
historisch,min,evening,33.77979583333333,33.94497583333333,0.18899627732674149,0.05906554745168065
tuindorp,min,morning,26.865781666666667,26.89276866666667,0.05298784617878577,0.029355897251943742
tuindorp,min,afternoon,35.194295000000004,35.23801233333334,0.11991820784684758,0.09823285437096164
tuindorp,min,evening,33.85058783333333,33.9235145,0.1107185690124587,0.044663774998313144
vinex,min,morning,26.846399,26.89827216666667,0.05089598451744487,0.02253126189468025
vinex,min,afternoon,35.096495999999995,35.194000499999994,0.1272401124441492,0.11218535690142493
vinex,min,evening,33.741327166666665,33.92956066666667,0.19625063382156613,0.03709357010947621
volkswijk,min,morning,26.811837333333333,26.892913000000004,0.04522973873312398,0.017689132008100055
volkswijk,min,afternoon,35.02532883333333,35.180944,0.15968095637666535,0.10732863386254368
volkswijk,min,evening,33.741032833333335,33.920749,0.11972280959017992,0.027770964563731994
bloemkool,min,morning,26.773493333333334,26.89690966666667,0.08371481637957842,0.04217170409488622
bloemkool,min,afternoon,34.96638433333333,35.1942245,0.08676370184049734,0.09856335620046663
bloemkool,min,evening,33.655869833333334,33.928522333333326,0.08798141878696043,0.06965393663438275
stedelijk,min,morning,26.797714,26.887907749999997,0.05961869826936297,0.0018104200939743976
stedelijk,min,afternoon,35.027727999999996,35.19777975,0.16891236500820767,0.11465994323033434
stedelijk,min,evening,33.557476,33.9118665,0.08965860060994413,0.00253748044327375
historisch,max,morning,49.67987866666667,49.922572,0.22240493696108982,0.23219845849014595
historisch,max,afternoon,75.19364166666666,75.30453499999999,0.309312327812306,0.25454182224145605
historisch,max,evening,67.37627766666668,67.60194633333334,0.4014851941288331,0.31057816630643215
tuindorp,max,morning,49.500116333333345,49.96501516666667,0.3886824079058216,0.21575264103543826
tuindorp,max,afternoon,74.79634316666667,75.13226,0.42829319555202733,0.265937759955218
tuindorp,max,evening,67.06506733333333,67.43564933333333,0.3745092386933428,0.3869035353607772
vinex,max,morning,49.866763666666664,50.09556533333333,0.13462651818518653,0.07415110878649432
vinex,max,afternoon,75.109656,75.36363,0.24733618740491425,0.12724686400850704
vinex,max,evening,67.99869316666665,68.30198083333333,1.1797386558234675,1.2600994190079506
volkswijk,max,morning,49.56793166666666,49.96522733333334,0.47110135410447157,0.15638538609558883
volkswijk,max,afternoon,74.83557950000001,75.22030483333333,0.3819079524585731,0.20281765483351663
volkswijk,max,evening,66.6773975,67.48231733333334,0.8921995567346471,0.3723808226999154
bloemkool,max,morning,49.89778583333333,50.042379333333336,0.22977085730128322,0.1326143881238633
bloemkool,max,afternoon,75.19343783333333,75.35301500000001,0.24194838621029366,0.20140914407345073
bloemkool,max,evening,67.92526733333334,68.12747500000002,1.4509252260466987,1.4412393953553995
stedelijk,max,morning,49.767059,50.0628375,0.2164861818315419,0.07149713761403276
stedelijk,max,afternoon,74.88743375,75.11426374999999,0.2944323409935093,0.12147877766473039
stedelijk,max,evening,67.3208975,67.7129785,0.3054790106673989,0.03213698132992705
historisch,mean,overall,45.97779083333333,47.943908722222226,1.0360435295145232,1.3314288749227485
tuindorp,mean,overall,50.838234333333325,53.413025833333336,0.8165589248946414,0.5411951093292572
vinex,mean,overall,51.71216533333334,54.202154611111105,0.8845338226126837,0.6073333882264932
volkswijk,mean,overall,48.411794722222226,50.72389294444445,1.3245345665891637,1.1844725388450799
