typology,location,time,mean,median,min,max,area_m2_bin_0_-inf_15.0,percent_bin_0_-inf_15.0,area_m2_bin_1_15.0_20.0,percent_bin_1_15.0_20.0,area_m2_bin_2_20.0_25.0,percent_bin_2_20.0_25.0,area_m2_bin_3_25.0_30.0,percent_bin_3_25.0_30.0,area_m2_bin_4_30.0_35.0,percent_bin_4_30.0_35.0,area_m2_bin_5_35.0_40.0,percent_bin_5_35.0_40.0,area_m2_bin_6_40.0_45.0,percent_bin_6_40.0_45.0,area_m2_bin_7_45.0_50.0,percent_bin_7_45.0_50.0,area_m2_bin_8_50.0_inf,percent_bin_8_50.0_inf
historisch,4,evening,32.822037,29.134266,26.17023,61.532425,0.0,0.0,0.0,0.0,0.0,0.0,104444.75,60.3907527251649,26441.0,15.288388289560606,8321.75,4.811699453449226,17339.75,10.025975978363471,9307.0,5.381378533752149,7094.0,4.101805019709652
historisch,4,12:00,50.29215,56.40131,27.557549,64.34472,0.0,0.0,0.0,0.0,0.0,0.0,2928.75,1.6934256345467504,22558.75,13.043641667377381,19762.0,11.42653944171161,15808.0,9.140306421140428,6320.0,3.65427230399845,105570.75,61.04181453122538
historisch,5,morning,30.796179,30.3154,21.480051,42.55688,0.0,0.0,0.0,0.0,24242.5,18.459505969785575,39024.75,29.71548336988304,32599.5,24.82296235380117,26547.0,20.214272660818715,8914.25,6.787775645711501,0.0,0.0,0.0,0.0
historisch,5,afternoon,47.083855,46.865276,27.895576,67.80149,0.0,0.0,0.0,0.0,0.0,0.0,5010.25,3.815066094054581,23606.5,17.975222344054583,12998.25,9.897546600877192,18040.25,13.736788803606236,18792.5,14.309591252436645,52880.25,40.26578490497076
historisch,5,evening,29.784275,27.049454,25.547478,54.863373,0.0,0.0,0.0,0.0,0.0,0.0,102606.25,78.12975907651072,6052.5,4.608689692982456,13328.75,10.149206566764132,3064.75,2.3336607577972712,1775.75,1.3521488182261208,4500.0,3.4265350877192984
historisch,5,12:00,47.477337,54.456215,27.527573,64.44943,0.0,0.0,0.0,0.0,0.0,0.0,4935.5,3.758147538986355,34866.5,26.54917458576998,13651.25,10.394774914717349,5825.5,4.435840034113061,2181.0,1.6607273391812867,69868.25,53.201335587231966
tuindorp,0,morning,34.404938,35.332108,21.497107,42.267155,0.0,0.0,0.0,0.0,15465.5,3.884796218066544,54117.5,13.593835267609597,117666.75,29.55684235182707,196409.5,49.33632167032045,14444.0,3.6282044921763386,0.0,0.0,0.0,0.0
tuindorp,0,afternoon,56.422142,59.390644,27.820274,68.27888,0.0,0.0,0.0,0.0,0.0,0.0,815.25,0.20478355803425366,12674.5,3.183721810861881,13529.25,3.3984274180127896,21816.5,5.480111001354548,32512.5,8.166851187474606,316755.25,79.56610502426193
tuindorp,0,evening,33.430756,31.189957,25.312714,55.379047,0.0,0.0,0.0,0.0,0.0,0.0,196369.25,49.32621122786614,21511.75,5.403560508486178,115123.25,28.91793774604955,17086.5,4.291977018524717,46795.0,11.754488314275253,1217.5,0.3058251847981648
tuindorp,0,12:00,53.854717,56.588146,27.62497,64.579865,0.0,0.0,0.0,0.0,0.0,0.0,3145.5,0.7901216581376815,28922.25,7.265012280105726,9131.25,2.293688885986236,13504.0,3.3920848423116365,10068.75,2.5291805580587448,333331.5,83.72991177539998
tuindorp,1,morning,35.50325,36.99352,21.583977,42.465256,0.0,0.0,0.0,0.0,5994.75,1.8257890128297865,47736.0,14.538698747477824,65516.75,19.954086877070086,170213.75,51.84109338713976,38876.25,11.840331975482545,0.0,0.0,0.0,0.0
tuindorp,1,afternoon,56.492767,60.94289,28.058935,67.6381,0.0,0.0,0.0,0.0,0.0,0.0,522.0,0.15898275402596412,17024.25,5.18498496211977,11895.25,3.622872806182663,19846.5,6.04454258194693,31516.0,9.598659915483305,247533.5,75.38995698024137
tuindorp,1,evening,39.862034,36.23413,26.338505,61.50831,0.0,0.0,0.0,0.0,0.0,0.0,90053.25,27.427037727947617,69758.5,21.24597403586249,7575.75,2.3073057448509537,47889.25,14.585373282064948,47334.75,14.416492176495222,65726.0,20.017817032778773
tuindorp,1,12:00,55.325607,58.91858,27.754805,63.988277,0.0,0.0,0.0,0.0,0.0,0.0,1043.75,0.317889366886207,24050.25,7.324856283549701,12268.5,3.7365515666044846,14915.5,4.54273422926105,3125.25,0.9518407126813112,272934.25,83.12612784101725
tuindorp,2,morning,33.864006,34.633022,21.491821,41.81516,0.0,0.0,0.0,0.0,7947.75,3.45845308988214,34780.75,15.134798188911105,80435.25,35.00129456738604,104705.5,45.56246233244055,1937.25,0.8429918213801612,0.0,0.0,0.0,0.0
tuindorp,2,afternoon,55.57204,60.08027,27.89621,67.755,0.0,0.0,0.0,0.0,0.0,0.0,847.5,0.3687885242584522,12004.0,5.22352500908373,8452.0,3.677876822457154,14338.25,6.2392708648362865,22186.75,9.654535446125328,171978.0,74.83600333323905
tuindorp,2,evening,39.25733,36.47284,26.493702,61.428566,0.0,0.0,0.0,0.0,0.0,0.0,85401.0,37.16213423031986,25982.25,11.306142341491645,4853.25,2.1118854340499507,49578.0,21.573802307593564,14801.0,6.440635926311919,49191.0,21.405399760233067
tuindorp,2,12:00,53.608482,56.66007,27.544212,63.156452,0.0,0.0,0.0,0.0,0.0,0.0,2003.75,0.8719292100092905,21029.75,9.151068398848597,4488.0,1.9529473709403347,10141.0,4.412842978766919,1610.5,0.7008069832663567,190533.5,82.91040505816851
tuindorp,3,morning,35.336838,36.829666,21.609652,42.535877,0.0,0.0,0.0,0.0,3027.0,1.7742947075959976,25892.0,15.176755391171316,35860.25,21.01970657022444,82548.75,48.386458620305625,23275.0,13.642784710702626,0.0,0.0,0.0,0.0
tuindorp,3,afternoon,57.037426,59.76535,28.0516,67.911194,0.0,0.0,0.0,0.0,0.0,0.0,271.75,0.15928793749230669,5307.75,3.11117037801211,2541.0,1.48942281202558,10450.25,6.12547844996864,14578.75,8.54542417190788,137453.5,80.56921625059348
tuindorp,3,evening,37.457493,32.13185,26.568241,61.786785,0.0,0.0,0.0,0.0,0.0,0.0,52956.0,31.040485806228496,53690.75,31.47116404752554,5358.75,3.1410643423620916,12192.75,7.146855565259696,20135.25,11.802400895646619,26269.5,15.398029342977557
tuindorp,3,12:00,55.305656,58.907104,27.805101,63.50319,0.0,0.0,0.0,0.0,0.0,0.0,384.25,0.22523050591138494,11076.5,6.4925587475015085,9658.5,5.661389307339261,3777.0,2.2139118303898524,4407.25,2.5833367525776216,141299.5,82.82357285628036
tuindorp,4,morning,36.141613,37.56404,21.535894,41.872704,0.0,0.0,0.0,0.0,797.5,0.9978198106331934,9302.5,11.63914581619471,13889.5,17.37833010631942,42788.5,53.53631720034908,13146.25,16.448387066503596,0.0,0.0,0.0,0.0
tuindorp,4,afternoon,56.524765,60.09328,28.016531,67.45784,0.0,0.0,0.0,0.0,0.0,0.0,92.75,0.11604738236517702,5258.25,6.579042030422556,2307.0,2.8864831387219776,4458.0,5.577781461821663,5365.5,6.713231591162883,62442.75,78.12741439550575
tuindorp,4,evening,35.773342,36.4801,25.559416,53.283054,0.0,0.0,0.0,0.0,0.0,0.0,34715.25,43.435190195716565,2987.0,3.7372887452806878,18457.0,23.09311629449135,5638.0,7.05417942614413,17764.75,22.226983675167425,362.25,0.4532416631998423
tuindorp,4,12:00,55.749207,59.577244,27.681524,63.733006,0.0,0.0,0.0,0.0,0.0,0.0,74.25,0.092900465127918,6809.25,8.519629524205733,3349.5,4.190843204659412,1263.5,1.5808718880690151,721.75,0.903042568431984,67706.0,84.71271234950594
tuindorp,5,morning,35.431355,36.968903,21.543028,42.74744,0.0,0.0,0.0,0.0,2150.5,1.645301842692159,20920.75,16.006021169728896,26215.0,20.05653931930944,62493.75,47.812639865958204,18925.5,14.479497802311304,0.0,0.0,0.0,0.0
tuindorp,5,afternoon,56.304474,60.148678,27.9797,67.39053,0.0,0.0,0.0,0.0,0.0,0.0,118.5,0.09066183136899365,6271.25,4.798000084158662,4806.25,3.677159721664353,6841.5,5.23428623891114,13700.75,10.482152625558985,98967.25,75.71773949833786
tuindorp,5,evening,33.76059,29.555296,25.542442,51.887646,0.0,0.0,0.0,0.0,0.0,0.0,67661.0,51.76599301483105,4812.75,3.6821327335115965,37144.5,28.41846747076443,1702.0,1.302164025232297,19184.5,14.677653197455347,200.75,0.15358955820527828
tuindorp,5,12:00,54.964573,58.765514,27.83628,63.311928,0.0,0.0,0.0,0.0,0.0,0.0,236.75,0.18113239305155485,9684.25,7.4092138433348245,6890.0,5.27139255807904,6098.0,4.665450191460956,577.0,0.44145043628615477,107219.5,82.03136057778747
vinex,0,morning,35.27305,36.4685,21.518766,42.595314,0.0,0.0,0.0,0.0,7817.25,1.3455589325895156,80728.25,13.895502625580553,138331.5,23.81057091477266,283109.5,48.73075782736275,70980.25,12.217609699694517,0.0,0.0,0.0,0.0
vinex,0,afternoon,56.781612,58.73923,27.90008,68.285355,0.0,0.0,0.0,0.0,0.0,0.0,192.75,0.03317745809032961,12825.5,2.207613430544863,13518.5,2.32689736546885,40751.5,7.014428966890102,39313.75,6.766953530473129,474364.75,81.65092924853272
