life_stage,average_height_m,minimum_crown_radius_m
early_mature,13.271356783919598,0.8
late_mature,16.111607142857142,0.5
mature,16.27492774566474,0.2
semi_mature,11.231411229135054,1.0
young,5.901869158878505,0.5
