bounds,GT_AHNSUB
"(164000, 426250, 165000, 427500)",39GZ1_20
"(160000, 425000, 161000, 426250)",39GZ1_21
"(161000, 425000, 162000, 426250)",39GZ1_22
"(162000, 425000, 163000, 426250)",39GZ1_23
"(163000, 425000, 164000, 426250)",39GZ1_24
"(164000, 425000, 165000, 426250)",39GZ1_25
"(160000, 405000, 161000, 406250)",45GZ1_01
"(161000, 405000, 162000, 406250)",45GZ1_02
"(162000, 405000, 163000, 406250)",45GZ1_03
"(163000, 405000, 164000, 406250)",45GZ1_04
"(164000, 405000, 165000, 406250)",45GZ1_05
"(160000, 403750, 161000, 405000)",45GZ1_06
"(161000, 403750, 162000, 405000)",45GZ1_07
"(162000, 403750, 163000, 405000)",45GZ1_08
"(163000, 403750, 164000, 405000)",45GZ1_09
"(164000, 403750, 165000, 405000)",45GZ1_10
"(160000, 402500, 161000, 403750)",45GZ1_11
"(161000, 402500, 162000, 403750)",45GZ1_12
"(162000, 402500, 163000, 403750)",45GZ1_13
"(163000, 402500, 164000, 403750)",45GZ1_14
"(164000, 402500, 165000, 403750)",45GZ1_15
"(160000, 401250, 161000, 402500)",45GZ1_16
"(161000, 401250, 162000, 402500)",45GZ1_17
"(162000, 401250, 163000, 402500)",45GZ1_18
"(163000, 401250, 164000, 402500)",45GZ1_19
"(164000, 401250, 165000, 402500)",45GZ1_20
"(160000, 400000, 161000, 401250)",45GZ1_21
"(161000, 400000, 162000, 401250)",45GZ1_22
"(162000, 400000, 163000, 401250)",45GZ1_23
"(163000, 400000, 164000, 401250)",45GZ1_24
"(164000, 400000, 165000, 401250)",45GZ1_25
"(160000, 380000, 161000, 381250)",51GZ1_01
"(161000, 380000, 162000, 381250)",51GZ1_02
"(162000, 380000, 163000, 381250)",51GZ1_03
"(163000, 380000, 164000, 381250)",51GZ1_04
"(164000, 380000, 165000, 381250)",51GZ1_05
"(160000, 378750, 161000, 380000)",51GZ1_06
"(161000, 378750, 162000, 380000)",51GZ1_07
"(162000, 378750, 163000, 380000)",51GZ1_08
"(163000, 378750, 164000, 380000)",51GZ1_09
"(164000, 378750, 165000, 380000)",51GZ1_10
"(160000, 377500, 161000, 378750)",51GZ1_11
"(161000, 377500, 162000, 378750)",51GZ1_12
"(162000, 377500, 163000, 378750)",51GZ1_13
"(163000, 377500, 164000, 378750)",51GZ1_14
"(164000, 377500, 165000, 378750)",51GZ1_15
"(160000, 376250, 161000, 377500)",51GZ1_16
"(161000, 376250, 162000, 377500)",51GZ1_17
"(162000, 376250, 163000, 377500)",51GZ1_18
"(163000, 376250, 164000, 377500)",51GZ1_19
"(164000, 376250, 165000, 377500)",51GZ1_20
"(160000, 375000, 161000, 376250)",51GZ1_21
"(161000, 375000, 162000, 376250)",51GZ1_22
"(162000, 375000, 163000, 376250)",51GZ1_23
"(163000, 375000, 164000, 376250)",51GZ1_24
"(164000, 375000, 165000, 376250)",51GZ1_25
"(160000, 355000, 161000, 356250)",57GZ1_01
"(161000, 355000, 162000, 356250)",57GZ1_02
"(162000, 355000, 163000, 356250)",57GZ1_03
"(163000, 355000, 164000, 356250)",57GZ1_04
"(164000, 355000, 165000, 356250)",57GZ1_05
"(160000, 353750, 161000, 355000)",57GZ1_06
"(161000, 353750, 162000, 355000)",57GZ1_07
"(162000, 353750, 163000, 355000)",57GZ1_08
"(163000, 353750, 164000, 355000)",57GZ1_09
"(164000, 353750, 165000, 355000)",57GZ1_10
"(180000, 605000, 181000, 606250)",02CZ1_01
"(181000, 605000, 182000, 606250)",02CZ1_02
"(182000, 605000, 183000, 606250)",02CZ1_03
"(183000, 605000, 184000, 606250)",02CZ1_04
"(184000, 605000, 185000, 606250)",02CZ1_05
"(180000, 603750, 181000, 605000)",02CZ1_06
"(181000, 603750, 182000, 605000)",02CZ1_07
"(182000, 603750, 183000, 605000)",02CZ1_08
"(183000, 603750, 184000, 605000)",02CZ1_09
"(184000, 603750, 185000, 605000)",02CZ1_10
"(180000, 602500, 181000, 603750)",02CZ1_11
"(181000, 602500, 182000, 603750)",02CZ1_12
"(182000, 602500, 183000, 603750)",02CZ1_13
"(183000, 602500, 184000, 603750)",02CZ1_14
"(184000, 602500, 185000, 603750)",02CZ1_15
"(180000, 601250, 181000, 602500)",02CZ1_16
"(181000, 601250, 182000, 602500)",02CZ1_17
"(182000, 601250, 183000, 602500)",02CZ1_18
"(183000, 601250, 184000, 602500)",02CZ1_19
"(184000, 601250, 185000, 602500)",02CZ1_20
"(180000, 600000, 181000, 601250)",02CZ1_21
"(181000, 600000, 182000, 601250)",02CZ1_22
"(182000, 600000, 183000, 601250)",02CZ1_23
"(183000, 600000, 184000, 601250)",02CZ1_24
"(184000, 600000, 185000, 601250)",02CZ1_25
"(180000, 580000, 181000, 581250)",06CZ1_01
"(181000, 580000, 182000, 581250)",06CZ1_02
"(182000, 580000, 183000, 581250)",06CZ1_03
"(183000, 580000, 184000, 581250)",06CZ1_04
"(184000, 580000, 185000, 581250)",06CZ1_05
"(180000, 578750, 181000, 580000)",06CZ1_06
"(181000, 578750, 182000, 580000)",06CZ1_07
"(182000, 578750, 183000, 580000)",06CZ1_08
"(183000, 578750, 184000, 580000)",06CZ1_09
"(184000, 578750, 185000, 580000)",06CZ1_10
"(180000, 577500, 181000, 578750)",06CZ1_11
"(181000, 577500, 182000, 578750)",06CZ1_12
"(182000, 577500, 183000, 578750)",06CZ1_13
"(183000, 577500, 184000, 578750)",06CZ1_14
"(184000, 577500, 185000, 578750)",06CZ1_15
"(180000, 576250, 181000, 577500)",06CZ1_16
"(181000, 576250, 182000, 577500)",06CZ1_17
"(182000, 576250, 183000, 577500)",06CZ1_18
"(183000, 576250, 184000, 577500)",06CZ1_19
"(184000, 576250, 185000, 577500)",06CZ1_20
"(180000, 575000, 181000, 576250)",06CZ1_21
"(181000, 575000, 182000, 576250)",06CZ1_22
"(182000, 575000, 183000, 576250)",06CZ1_23
"(183000, 575000, 184000, 576250)",06CZ1_24
"(184000, 575000, 185000, 576250)",06CZ1_25
"(180000, 555000, 181000, 556250)",11CZ1_01
"(181000, 555000, 182000, 556250)",11CZ1_02
"(182000, 555000, 183000, 556250)",11CZ1_03
"(183000, 555000, 184000, 556250)",11CZ1_04
"(184000, 555000, 185000, 556250)",11CZ1_05
"(180000, 553750, 181000, 555000)",11CZ1_06
"(181000, 553750, 182000, 555000)",11CZ1_07
"(182000, 553750, 183000, 555000)",11CZ1_08
"(183000, 553750, 184000, 555000)",11CZ1_09
"(184000, 553750, 185000, 555000)",11CZ1_10
"(180000, 552500, 181000, 553750)",11CZ1_11
"(181000, 552500, 182000, 553750)",11CZ1_12
"(182000, 552500, 183000, 553750)",11CZ1_13
"(183000, 552500, 184000, 553750)",11CZ1_14
"(184000, 552500, 185000, 553750)",11CZ1_15
"(180000, 551250, 181000, 552500)",11CZ1_16
"(181000, 551250, 182000, 552500)",11CZ1_17
"(182000, 551250, 183000, 552500)",11CZ1_18
"(183000, 551250, 184000, 552500)",11CZ1_19
"(184000, 551250, 185000, 552500)",11CZ1_20
"(180000, 550000, 181000, 551250)",11CZ1_21
"(181000, 550000, 182000, 551250)",11CZ1_22
"(182000, 550000, 183000, 551250)",11CZ1_23
"(183000, 550000, 184000, 551250)",11CZ1_24
"(184000, 550000, 185000, 551250)",11CZ1_25
"(180000, 530000, 181000, 531250)",16CZ1_01
"(181000, 530000, 182000, 531250)",16CZ1_02
"(182000, 530000, 183000, 531250)",16CZ1_03
"(183000, 530000, 184000, 531250)",16CZ1_04
"(184000, 530000, 185000, 531250)",16CZ1_05
"(180000, 528750, 181000, 530000)",16CZ1_06
"(181000, 528750, 182000, 530000)",16CZ1_07
"(182000, 528750, 183000, 530000)",16CZ1_08
"(183000, 528750, 184000, 530000)",16CZ1_09
"(184000, 528750, 185000, 530000)",16CZ1_10
"(180000, 527500, 181000, 528750)",16CZ1_11
"(181000, 527500, 182000, 528750)",16CZ1_12
"(182000, 527500, 183000, 528750)",16CZ1_13
"(183000, 527500, 184000, 528750)",16CZ1_14
"(184000, 527500, 185000, 528750)",16CZ1_15
"(180000, 526250, 181000, 527500)",16CZ1_16
"(181000, 526250, 182000, 527500)",16CZ1_17
"(182000, 526250, 183000, 527500)",16CZ1_18
"(183000, 526250, 184000, 527500)",16CZ1_19
"(184000, 526250, 185000, 527500)",16CZ1_20
"(180000, 525000, 181000, 526250)",16CZ1_21
"(181000, 525000, 182000, 526250)",16CZ1_22
"(182000, 525000, 183000, 526250)",16CZ1_23
"(183000, 525000, 184000, 526250)",16CZ1_24
"(184000, 525000, 185000, 526250)",16CZ1_25
"(180000, 505000, 181000, 506250)",21CZ1_01
"(181000, 505000, 182000, 506250)",21CZ1_02
"(182000, 505000, 183000, 506250)",21CZ1_03
"(183000, 505000, 184000, 506250)",21CZ1_04
"(184000, 505000, 185000, 506250)",21CZ1_05
"(180000, 503750, 181000, 505000)",21CZ1_06
"(181000, 503750, 182000, 505000)",21CZ1_07
"(182000, 503750, 183000, 505000)",21CZ1_08
"(183000, 503750, 184000, 505000)",21CZ1_09
"(184000, 503750, 185000, 505000)",21CZ1_10
"(180000, 502500, 181000, 503750)",21CZ1_11
"(181000, 502500, 182000, 503750)",21CZ1_12
"(182000, 502500, 183000, 503750)",21CZ1_13
"(183000, 502500, 184000, 503750)",21CZ1_14
"(184000, 502500, 185000, 503750)",21CZ1_15
"(180000, 501250, 181000, 502500)",21CZ1_16
"(181000, 501250, 182000, 502500)",21CZ1_17
"(182000, 501250, 183000, 502500)",21CZ1_18
"(183000, 501250, 184000, 502500)",21CZ1_19
"(184000, 501250, 185000, 502500)",21CZ1_20
"(180000, 500000, 181000, 501250)",21CZ1_21
"(181000, 500000, 182000, 501250)",21CZ1_22
"(182000, 500000, 183000, 501250)",21CZ1_23
"(183000, 500000, 184000, 501250)",21CZ1_24
"(184000, 500000, 185000, 501250)",21CZ1_25
"(180000, 480000, 181000, 481250)",27CZ1_01
"(181000, 480000, 182000, 481250)",27CZ1_02
"(182000, 480000, 183000, 481250)",27CZ1_03
"(183000, 480000, 184000, 481250)",27CZ1_04
"(184000, 480000, 185000, 481250)",27CZ1_05
"(180000, 478750, 181000, 480000)",27CZ1_06
"(181000, 478750, 182000, 480000)",27CZ1_07
"(182000, 478750, 183000, 480000)",27CZ1_08
"(183000, 478750, 184000, 480000)",27CZ1_09
"(184000, 478750, 185000, 480000)",27CZ1_10
"(180000, 477500, 181000, 478750)",27CZ1_11
"(181000, 477500, 182000, 478750)",27CZ1_12
"(182000, 477500, 183000, 478750)",27CZ1_13
"(183000, 477500, 184000, 478750)",27CZ1_14
"(184000, 477500, 185000, 478750)",27CZ1_15
"(180000, 476250, 181000, 477500)",27CZ1_16
"(181000, 476250, 182000, 477500)",27CZ1_17
"(182000, 476250, 183000, 477500)",27CZ1_18
"(183000, 476250, 184000, 477500)",27CZ1_19
"(184000, 476250, 185000, 477500)",27CZ1_20
"(180000, 475000, 181000, 476250)",27CZ1_21
"(181000, 475000, 182000, 476250)",27CZ1_22
"(182000, 475000, 183000, 476250)",27CZ1_23
"(183000, 475000, 184000, 476250)",27CZ1_24
"(184000, 475000, 185000, 476250)",27CZ1_25
"(180000, 455000, 181000, 456250)",33CZ1_01
"(181000, 455000, 182000, 456250)",33CZ1_02
"(182000, 455000, 183000, 456250)",33CZ1_03
"(183000, 455000, 184000, 456250)",33CZ1_04
"(184000, 455000, 185000, 456250)",33CZ1_05
"(180000, 453750, 181000, 455000)",33CZ1_06
"(181000, 453750, 182000, 455000)",33CZ1_07
"(182000, 453750, 183000, 455000)",33CZ1_08
"(183000, 453750, 184000, 455000)",33CZ1_09
"(184000, 453750, 185000, 455000)",33CZ1_10
"(180000, 452500, 181000, 453750)",33CZ1_11
"(181000, 452500, 182000, 453750)",33CZ1_12
"(182000, 452500, 183000, 453750)",33CZ1_13
"(183000, 452500, 184000, 453750)",33CZ1_14
"(184000, 452500, 185000, 453750)",33CZ1_15
"(180000, 451250, 181000, 452500)",33CZ1_16
"(181000, 451250, 182000, 452500)",33CZ1_17
"(182000, 451250, 183000, 452500)",33CZ1_18
"(183000, 451250, 184000, 452500)",33CZ1_19
"(184000, 451250, 185000, 452500)",33CZ1_20
"(180000, 450000, 181000, 451250)",33CZ1_21
"(181000, 450000, 182000, 451250)",33CZ1_22
"(182000, 450000, 183000, 451250)",33CZ1_23
"(183000, 450000, 184000, 451250)",33CZ1_24
"(184000, 450000, 185000, 451250)",33CZ1_25
"(180000, 430000, 181000, 431250)",40CZ1_01
"(181000, 430000, 182000, 431250)",40CZ1_02
"(182000, 430000, 183000, 431250)",40CZ1_03
"(183000, 430000, 184000, 431250)",40CZ1_04
"(184000, 430000, 185000, 431250)",40CZ1_05
"(180000, 428750, 181000, 430000)",40CZ1_06
"(181000, 428750, 182000, 430000)",40CZ1_07
"(182000, 428750, 183000, 430000)",40CZ1_08
"(183000, 428750, 184000, 430000)",40CZ1_09
"(184000, 428750, 185000, 430000)",40CZ1_10
"(180000, 427500, 181000, 428750)",40CZ1_11
"(181000, 427500, 182000, 428750)",40CZ1_12
"(182000, 427500, 183000, 428750)",40CZ1_13
"(183000, 427500, 184000, 428750)",40CZ1_14
"(184000, 427500, 185000, 428750)",40CZ1_15
"(180000, 426250, 181000, 427500)",40CZ1_16
"(181000, 426250, 182000, 427500)",40CZ1_17
"(182000, 426250, 183000, 427500)",40CZ1_18
"(183000, 426250, 184000, 427500)",40CZ1_19
"(184000, 426250, 185000, 427500)",40CZ1_20
"(180000, 425000, 181000, 426250)",40CZ1_21
"(181000, 425000, 182000, 426250)",40CZ1_22
"(182000, 425000, 183000, 426250)",40CZ1_23
"(183000, 425000, 184000, 426250)",40CZ1_24
"(184000, 425000, 185000, 426250)",40CZ1_25
"(180000, 405000, 181000, 406250)",46CZ1_01
"(181000, 405000, 182000, 406250)",46CZ1_02
"(182000, 405000, 183000, 406250)",46CZ1_03
"(183000, 405000, 184000, 406250)",46CZ1_04
"(184000, 405000, 185000, 406250)",46CZ1_05
"(180000, 403750, 181000, 405000)",46CZ1_06
"(181000, 403750, 182000, 405000)",46CZ1_07
"(182000, 403750, 183000, 405000)",46CZ1_08
"(183000, 403750, 184000, 405000)",46CZ1_09
"(184000, 403750, 185000, 405000)",46CZ1_10
"(180000, 402500, 181000, 403750)",46CZ1_11
"(181000, 402500, 182000, 403750)",46CZ1_12
"(182000, 402500, 183000, 403750)",46CZ1_13
"(183000, 402500, 184000, 403750)",46CZ1_14
"(184000, 402500, 185000, 403750)",46CZ1_15
"(180000, 401250, 181000, 402500)",46CZ1_16
"(181000, 401250, 182000, 402500)",46CZ1_17
"(182000, 401250, 183000, 402500)",46CZ1_18
"(183000, 401250, 184000, 402500)",46CZ1_19
"(184000, 401250, 185000, 402500)",46CZ1_20
"(180000, 400000, 181000, 401250)",46CZ1_21
"(181000, 400000, 182000, 401250)",46CZ1_22
"(182000, 400000, 183000, 401250)",46CZ1_23
"(183000, 400000, 184000, 401250)",46CZ1_24
"(184000, 400000, 185000, 401250)",46CZ1_25
"(180000, 380000, 181000, 381250)",52CZ1_01
"(181000, 380000, 182000, 381250)",52CZ1_02
"(182000, 380000, 183000, 381250)",52CZ1_03
"(183000, 380000, 184000, 381250)",52CZ1_04
"(184000, 380000, 185000, 381250)",52CZ1_05
"(180000, 378750, 181000, 380000)",52CZ1_06
"(181000, 378750, 182000, 380000)",52CZ1_07
"(182000, 378750, 183000, 380000)",52CZ1_08
"(183000, 378750, 184000, 380000)",52CZ1_09
"(184000, 378750, 185000, 380000)",52CZ1_10
"(180000, 377500, 181000, 378750)",52CZ1_11
"(181000, 377500, 182000, 378750)",52CZ1_12
"(182000, 377500, 183000, 378750)",52CZ1_13
"(183000, 377500, 184000, 378750)",52CZ1_14
"(184000, 377500, 185000, 378750)",52CZ1_15
"(180000, 376250, 181000, 377500)",52CZ1_16
"(181000, 376250, 182000, 377500)",52CZ1_17
"(182000, 376250, 183000, 377500)",52CZ1_18
"(183000, 376250, 184000, 377500)",52CZ1_19
"(184000, 376250, 185000, 377500)",52CZ1_20
"(180000, 375000, 181000, 376250)",52CZ1_21
"(181000, 375000, 182000, 376250)",52CZ1_22
"(182000, 375000, 183000, 376250)",52CZ1_23
"(183000, 375000, 184000, 376250)",52CZ1_24
"(184000, 375000, 185000, 376250)",52CZ1_25
"(180000, 355000, 181000, 356250)",58CZ1_01
"(181000, 355000, 182000, 356250)",58CZ1_02
"(182000, 355000, 183000, 356250)",58CZ1_03
"(183000, 355000, 184000, 356250)",58CZ1_04
"(184000, 355000, 185000, 356250)",58CZ1_05
"(180000, 353750, 181000, 355000)",58CZ1_06
"(181000, 353750, 182000, 355000)",58CZ1_07
"(182000, 353750, 183000, 355000)",58CZ1_08
"(183000, 353750, 184000, 355000)",58CZ1_09
"(184000, 353750, 185000, 355000)",58CZ1_10
"(180000, 352500, 181000, 353750)",58CZ1_11
"(181000, 352500, 182000, 353750)",58CZ1_12
"(182000, 352500, 183000, 353750)",58CZ1_13
"(183000, 352500, 184000, 353750)",58CZ1_14
"(184000, 352500, 185000, 353750)",58CZ1_15
"(180000, 351250, 181000, 352500)",58CZ1_16
"(181000, 351250, 182000, 352500)",58CZ1_17
"(182000, 351250, 183000, 352500)",58CZ1_18
"(183000, 351250, 184000, 352500)",58CZ1_19
"(184000, 351250, 185000, 352500)",58CZ1_20
"(180000, 350000, 181000, 351250)",58CZ1_21
"(181000, 350000, 182000, 351250)",58CZ1_22
"(182000, 350000, 183000, 351250)",58CZ1_23
"(183000, 350000, 184000, 351250)",58CZ1_24
"(184000, 350000, 185000, 351250)",58CZ1_25
"(200000, 605000, 201000, 606250)",02GZ1_01
"(201000, 605000, 202000, 606250)",02GZ1_02
"(202000, 605000, 203000, 606250)",02GZ1_03
"(203000, 605000, 204000, 606250)",02GZ1_04
"(204000, 605000, 205000, 606250)",02GZ1_05
"(200000, 603750, 201000, 605000)",02GZ1_06
"(201000, 603750, 202000, 605000)",02GZ1_07
"(202000, 603750, 203000, 605000)",02GZ1_08
"(203000, 603750, 204000, 605000)",02GZ1_09
"(204000, 603750, 205000, 605000)",02GZ1_10
"(200000, 602500, 201000, 603750)",02GZ1_11
"(201000, 602500, 202000, 603750)",02GZ1_12
"(202000, 602500, 203000, 603750)",02GZ1_13
"(203000, 602500, 204000, 603750)",02GZ1_14
"(204000, 602500, 205000, 603750)",02GZ1_15
"(200000, 601250, 201000, 602500)",02GZ1_16
"(201000, 601250, 202000, 602500)",02GZ1_17
"(202000, 601250, 203000, 602500)",02GZ1_18
"(203000, 601250, 204000, 602500)",02GZ1_19
"(204000, 601250, 205000, 602500)",02GZ1_20
"(200000, 600000, 201000, 601250)",02GZ1_21
"(201000, 600000, 202000, 601250)",02GZ1_22
"(202000, 600000, 203000, 601250)",02GZ1_23
"(203000, 600000, 204000, 601250)",02GZ1_24
"(204000, 600000, 205000, 601250)",02GZ1_25
"(200000, 580000, 201000, 581250)",06GZ1_01
"(201000, 580000, 202000, 581250)",06GZ1_02
"(202000, 580000, 203000, 581250)",06GZ1_03
"(203000, 580000, 204000, 581250)",06GZ1_04
"(204000, 580000, 205000, 581250)",06GZ1_05
"(200000, 578750, 201000, 580000)",06GZ1_06
"(201000, 578750, 202000, 580000)",06GZ1_07
"(202000, 578750, 203000, 580000)",06GZ1_08
"(203000, 578750, 204000, 580000)",06GZ1_09
"(204000, 578750, 205000, 580000)",06GZ1_10
"(200000, 577500, 201000, 578750)",06GZ1_11
"(201000, 577500, 202000, 578750)",06GZ1_12
"(202000, 577500, 203000, 578750)",06GZ1_13
"(203000, 577500, 204000, 578750)",06GZ1_14
"(204000, 577500, 205000, 578750)",06GZ1_15
"(200000, 576250, 201000, 577500)",06GZ1_16
"(201000, 576250, 202000, 577500)",06GZ1_17
"(202000, 576250, 203000, 577500)",06GZ1_18
"(203000, 576250, 204000, 577500)",06GZ1_19
"(204000, 576250, 205000, 577500)",06GZ1_20
"(200000, 575000, 201000, 576250)",06GZ1_21
"(201000, 575000, 202000, 576250)",06GZ1_22
"(202000, 575000, 203000, 576250)",06GZ1_23
"(203000, 575000, 204000, 576250)",06GZ1_24
"(204000, 575000, 205000, 576250)",06GZ1_25
"(200000, 555000, 201000, 556250)",11GZ1_01
"(201000, 555000, 202000, 556250)",11GZ1_02
"(202000, 555000, 203000, 556250)",11GZ1_03
"(203000, 555000, 204000, 556250)",11GZ1_04
"(204000, 555000, 205000, 556250)",11GZ1_05
"(200000, 553750, 201000, 555000)",11GZ1_06
"(201000, 553750, 202000, 555000)",11GZ1_07
"(202000, 553750, 203000, 555000)",11GZ1_08
"(203000, 553750, 204000, 555000)",11GZ1_09
"(204000, 553750, 205000, 555000)",11GZ1_10
"(200000, 552500, 201000, 553750)",11GZ1_11
"(201000, 552500, 202000, 553750)",11GZ1_12
"(202000, 552500, 203000, 553750)",11GZ1_13
"(203000, 552500, 204000, 553750)",11GZ1_14
"(204000, 552500, 205000, 553750)",11GZ1_15
"(200000, 551250, 201000, 552500)",11GZ1_16
"(201000, 551250, 202000, 552500)",11GZ1_17
"(202000, 551250, 203000, 552500)",11GZ1_18
"(203000, 551250, 204000, 552500)",11GZ1_19
"(204000, 551250, 205000, 552500)",11GZ1_20
"(200000, 550000, 201000, 551250)",11GZ1_21
"(201000, 550000, 202000, 551250)",11GZ1_22
"(202000, 550000, 203000, 551250)",11GZ1_23
"(203000, 550000, 204000, 551250)",11GZ1_24
"(204000, 550000, 205000, 551250)",11GZ1_25
"(200000, 530000, 201000, 531250)",16GZ1_01
"(201000, 530000, 202000, 531250)",16GZ1_02
"(202000, 530000, 203000, 531250)",16GZ1_03
"(203000, 530000, 204000, 531250)",16GZ1_04
"(204000, 530000, 205000, 531250)",16GZ1_05
"(200000, 528750, 201000, 530000)",16GZ1_06
"(201000, 528750, 202000, 530000)",16GZ1_07
"(202000, 528750, 203000, 530000)",16GZ1_08
"(203000, 528750, 204000, 530000)",16GZ1_09
"(204000, 528750, 205000, 530000)",16GZ1_10
"(200000, 527500, 201000, 528750)",16GZ1_11
"(201000, 527500, 202000, 528750)",16GZ1_12
"(202000, 527500, 203000, 528750)",16GZ1_13
"(203000, 527500, 204000, 528750)",16GZ1_14
"(204000, 527500, 205000, 528750)",16GZ1_15
"(200000, 526250, 201000, 527500)",16GZ1_16
"(201000, 526250, 202000, 527500)",16GZ1_17
"(202000, 526250, 203000, 527500)",16GZ1_18
"(203000, 526250, 204000, 527500)",16GZ1_19
"(204000, 526250, 205000, 527500)",16GZ1_20
"(200000, 525000, 201000, 526250)",16GZ1_21
"(201000, 525000, 202000, 526250)",16GZ1_22
"(202000, 525000, 203000, 526250)",16GZ1_23
"(203000, 525000, 204000, 526250)",16GZ1_24
"(204000, 525000, 205000, 526250)",16GZ1_25
"(200000, 505000, 201000, 506250)",21GZ1_01
"(201000, 505000, 202000, 506250)",21GZ1_02
"(202000, 505000, 203000, 506250)",21GZ1_03
"(203000, 505000, 204000, 506250)",21GZ1_04
"(204000, 505000, 205000, 506250)",21GZ1_05
"(200000, 503750, 201000, 505000)",21GZ1_06
"(201000, 503750, 202000, 505000)",21GZ1_07
"(202000, 503750, 203000, 505000)",21GZ1_08
"(203000, 503750, 204000, 505000)",21GZ1_09
"(204000, 503750, 205000, 505000)",21GZ1_10
"(200000, 502500, 201000, 503750)",21GZ1_11
"(201000, 502500, 202000, 503750)",21GZ1_12
"(202000, 502500, 203000, 503750)",21GZ1_13
"(203000, 502500, 204000, 503750)",21GZ1_14
"(204000, 502500, 205000, 503750)",21GZ1_15
"(200000, 501250, 201000, 502500)",21GZ1_16
"(201000, 501250, 202000, 502500)",21GZ1_17
"(202000, 501250, 203000, 502500)",21GZ1_18
"(203000, 501250, 204000, 502500)",21GZ1_19
"(204000, 501250, 205000, 502500)",21GZ1_20
"(200000, 500000, 201000, 501250)",21GZ1_21
"(201000, 500000, 202000, 501250)",21GZ1_22
"(202000, 500000, 203000, 501250)",21GZ1_23
"(203000, 500000, 204000, 501250)",21GZ1_24
"(204000, 500000, 205000, 501250)",21GZ1_25
"(200000, 480000, 201000, 481250)",27GZ1_01
"(201000, 480000, 202000, 481250)",27GZ1_02
"(202000, 480000, 203000, 481250)",27GZ1_03
"(203000, 480000, 204000, 481250)",27GZ1_04
"(204000, 480000, 205000, 481250)",27GZ1_05
"(200000, 478750, 201000, 480000)",27GZ1_06
"(201000, 478750, 202000, 480000)",27GZ1_07
"(202000, 478750, 203000, 480000)",27GZ1_08
"(203000, 478750, 204000, 480000)",27GZ1_09
"(204000, 478750, 205000, 480000)",27GZ1_10
"(200000, 477500, 201000, 478750)",27GZ1_11
"(201000, 477500, 202000, 478750)",27GZ1_12
"(202000, 477500, 203000, 478750)",27GZ1_13
"(203000, 477500, 204000, 478750)",27GZ1_14
"(204000, 477500, 205000, 478750)",27GZ1_15
"(200000, 476250, 201000, 477500)",27GZ1_16
"(201000, 476250, 202000, 477500)",27GZ1_17
"(202000, 476250, 203000, 477500)",27GZ1_18
"(203000, 476250, 204000, 477500)",27GZ1_19
"(204000, 476250, 205000, 477500)",27GZ1_20
"(200000, 475000, 201000, 476250)",27GZ1_21
"(201000, 475000, 202000, 476250)",27GZ1_22
"(202000, 475000, 203000, 476250)",27GZ1_23
"(203000, 475000, 204000, 476250)",27GZ1_24
"(204000, 475000, 205000, 476250)",27GZ1_25
"(200000, 455000, 201000, 456250)",33GZ1_01
"(201000, 455000, 202000, 456250)",33GZ1_02
"(202000, 455000, 203000, 456250)",33GZ1_03
"(203000, 455000, 204000, 456250)",33GZ1_04
"(204000, 455000, 205000, 456250)",33GZ1_05
"(200000, 453750, 201000, 455000)",33GZ1_06
"(201000, 453750, 202000, 455000)",33GZ1_07
"(202000, 453750, 203000, 455000)",33GZ1_08
"(203000, 453750, 204000, 455000)",33GZ1_09
"(204000, 453750, 205000, 455000)",33GZ1_10
"(200000, 452500, 201000, 453750)",33GZ1_11
"(201000, 452500, 202000, 453750)",33GZ1_12
"(202000, 452500, 203000, 453750)",33GZ1_13
"(203000, 452500, 204000, 453750)",33GZ1_14
"(204000, 452500, 205000, 453750)",33GZ1_15
"(200000, 451250, 201000, 452500)",33GZ1_16
"(201000, 451250, 202000, 452500)",33GZ1_17
"(202000, 451250, 203000, 452500)",33GZ1_18
"(203000, 451250, 204000, 452500)",33GZ1_19
"(204000, 451250, 205000, 452500)",33GZ1_20
"(200000, 450000, 201000, 451250)",33GZ1_21
"(201000, 450000, 202000, 451250)",33GZ1_22
"(202000, 450000, 203000, 451250)",33GZ1_23
"(203000, 450000, 204000, 451250)",33GZ1_24
"(204000, 450000, 205000, 451250)",33GZ1_25
"(200000, 430000, 201000, 431250)",40GZ1_01
"(201000, 430000, 202000, 431250)",40GZ1_02
"(202000, 430000, 203000, 431250)",40GZ1_03
"(203000, 430000, 204000, 431250)",40GZ1_04
"(204000, 430000, 205000, 431250)",40GZ1_05
"(200000, 428750, 201000, 430000)",40GZ1_06
"(201000, 428750, 202000, 430000)",40GZ1_07
"(202000, 428750, 203000, 430000)",40GZ1_08
"(203000, 428750, 204000, 430000)",40GZ1_09
"(204000, 428750, 205000, 430000)",40GZ1_10
"(200000, 427500, 201000, 428750)",40GZ1_11
"(201000, 427500, 202000, 428750)",40GZ1_12
"(202000, 427500, 203000, 428750)",40GZ1_13
"(203000, 427500, 204000, 428750)",40GZ1_14
"(204000, 427500, 205000, 428750)",40GZ1_15
"(200000, 426250, 201000, 427500)",40GZ1_16
"(201000, 426250, 202000, 427500)",40GZ1_17
"(202000, 426250, 203000, 427500)",40GZ1_18
"(203000, 426250, 204000, 427500)",40GZ1_19
"(204000, 426250, 205000, 427500)",40GZ1_20
"(200000, 425000, 201000, 426250)",40GZ1_21
